"Date"	"Side 1"	"Side 1 Duration"	"Start Time 1"	"Side 2"	"Side 2 Duration"	"Start Time 2"	"Total Duration"	"Note"
" 11/14/12 14:26:27 GMT+01:00"	"L"	"00:08"	" 11/14/12 14:26:27 GMT+01:00"	"L"	"00:06"	" 11/14/12 18:49:12 GMT+01:00"	"00:08"	""
" 11/14/12 12:23:23 GMT+01:00"	"R"	"00:22"	" 11/14/12 12:23:23 GMT+01:00"	"L"	"00:06"	" 11/14/12 18:49:12 GMT+01:00"	"00:22"	""
" 11/14/12 9:41:25 GMT+01:00"	"L"	"00:10"	" 11/14/12 9:41:25 GMT+01:00"	"L"	"00:06"	" 11/14/12 18:49:12 GMT+01:00"	"00:10"	""
" 11/14/12 7:33:40 GMT+01:00"	"L"	"00:05"	" 11/14/12 7:33:40 GMT+01:00"	"L"	"00:06"	" 11/14/12 18:49:12 GMT+01:00"	"00:05"	""
" 11/14/12 7:00:48 GMT+01:00"	"R"	"00:16"	" 11/14/12 7:00:48 GMT+01:00"	"L"	"00:06"	" 11/14/12 18:49:12 GMT+01:00"	"00:16"	""
" 11/13/12 19:28:14 GMT+01:00"	"R"	"00:10"	" 11/13/12 19:28:14 GMT+01:00"	"L"	"00:06"	" 11/14/12 18:49:12 GMT+01:00"	"00:10"	""
" 11/13/12 16:33:45 GMT+01:00"	"L"	"00:14"	" 11/13/12 16:33:45 GMT+01:00"	"L"	"00:06"	" 11/14/12 18:49:12 GMT+01:00"	"00:14"	""
" 11/13/12 14:24:28 GMT+01:00"	"R"	"00:16"	" 11/13/12 14:24:28 GMT+01:00"	"L"	"00:06"	" 11/14/12 18:49:12 GMT+01:00"	"00:16"	""
" 11/13/12 10:00:40 GMT+01:00"	"L"	"00:10"	" 11/13/12 10:00:40 GMT+01:00"	"L"	"00:06"	" 11/14/12 18:49:12 GMT+01:00"	"00:10"	""
" 11/13/12 8:00:51 GMT+01:00"	"R"	"00:13"	" 11/13/12 8:00:51 GMT+01:00"	"L"	"00:06"	" 11/14/12 18:49:12 GMT+01:00"	"00:13"	""
