movie_display_name,movie_production_year,movie_genre_display_name,movie_financial_summary_production_budget,movie_financial_summary_international_box_office,movie_annual_summary_tickets_sold,movie_video_summary_domestic_dvd_units,movie_acting_role_display_name,movie_theatrical_release_release_date,movie_creative_type_display_name,movie_production_method_display_name,movie_source_display_name,movie_running_time,movie_technical_role_display_name,movie_production_company_display_name,movie_sequel
The Last House on the Left,2009,Horror,15000000,12730721,4366962,1194631,Sara Paxton,2009-03-13,Contemporary Fiction,Live Action,Remake,,,,0
Earth,2009,Documentary,15000000,77000000,4268210,1056395,James Earl Jones,2009-04-22,Factual,Live Action,Based on TV,99,Alastair Fothergill,BBC Worldwide,0
Push,2009,Thriller/Suspense,38000000,12600000,4241537,1102919,Camilla Belle,2009-02-06,Science Fiction,Live Action,Original Screenplay,,,,0
The Soloist,2009,Drama,60000000,6668866,4247145,652044,Jamie Foxx,2009-04-24,Dramatization,Live Action,Based on Real Life Events,117,Joe Wright,Krasnoff/Foster Entertainment,0
Halloween 2,2009,Horror,15000000,5119877,4452396,497857,Angela Trimbur,2009-08-28,Fantasy,Live Action,Original Screenplay,105,Rob Zombie,,1
(500) Days of Summer,2009,Romantic Comedy,7500000,26710268,4323422,1539285,Clark Gregg,2009-08-07,Contemporary Fiction,Live Action,Original Screenplay,,,,0
The Uninvited,2009,Horror,0,14182143,3812909,768664,Arielle Kebbel,2009-01-30,Fantasy,Live Action,Remake,,,,0
All About Steve,2009,Romantic Comedy,15000000,6264356,4515054,547719,Beth Grant,2009-09-04,Contemporary Fiction,Live Action,Original Screenplay,,Phil Traill,Fortis Films,0
Dance Flick,2009,Comedy,25000000,6430606,3439202,,Shawn Wayans,2009-05-22,Contemporary Fiction,Live Action,Original Screenplay,,Damien Wayans,,0
The International,2009,Thriller/Suspense,50000000,28400000,3393404,518587,Clive Owen,2009-02-13,Contemporary Fiction,Live Action,Original Screenplay,,Tom Tykwer,,0
Aliens in the Attic,2009,Adventure,45000000,34350871,3360055,874442,Ashley Tisdale,2009-07-31,Science Fiction,Live Action,Original Screenplay,,John Debney,,0
9,2009,Adventure,30000000,16810105,4233319,783565,Martin Landau,2009-09-09,Fantasy,Digital Animation,Original Screenplay,,Shane Acker,,0
Observe and Report,2009,Comedy,18000000,3141574,3200977,860386,Seth Rogen,2009-04-10,Contemporary Fiction,Live Action,Original Screenplay,,,,0
